,S_SUM,H_TDH_I_L1_N,C_phi_L1,P_L2,P_L1,P_L3,C_phi_L2,Q_SUM,P_SUM,Q_L2,Q_L3,Q_L1,I_L1,I_L2,I_L3,H_TDH_I_L2_N,S_L3,S_L2,S_L1
2022-06-28T14:32:00Z,0.867749592644416,0.3601923332609643,0.9878767469270906,0.852544511099187,0.8884165193514972,0.8174886649024494,0.9934695244474213,0.7410102632085249,0.868821696828633,0.4852103306873667,0.8041648849423073,0.7531833541071843,0.8805661386091527,0.8473489478090808,0.8320046942051508,0.39608852852299453,0.8290734671316498,0.8513372483586661,0.8875554974818184
2022-06-28T14:33:00Z,0.8716725629094596,0.3643560757148123,0.9868664758376815,0.8561696181071025,0.8902789419437123,0.8171982457551602,0.9934695244474213,0.7527263113094601,0.87059870858982,0.49076376610513706,0.8120912759931921,0.771934040588827,0.8864731316574481,0.853605774752646,0.8355309440212839,0.3990966964753417,0.8311862833002601,0.8564418537300613,0.8919332390600594
2022-06-28T14:34:00Z,0.8686799984563262,0.3644284447227005,0.9868664758376815,0.8584954506801662,0.8842450125567771,0.8163888027595395,0.9934695244474213,0.7513835324023983,0.869028565968243,0.5012657309371089,0.7919663690906661,0.778968665970038,0.8814152544778016,0.854863635391509,0.8326170513484649,0.3919047350918234,0.8276345108291845,0.8569835801383637,0.8861477879333731
2022-06-28T14:35:00Z,0.8407515247113456,0.3719918475471114,0.9863613402929773,0.8277221272073703,0.8483882453208444,0.7953768393518404,0.9931346282652379,0.7326202976055776,0.8391852499906296,0.5201451199990884,0.7584716499585227,0.7442501355261847,0.8474222391653355,0.8277895317162272,0.8107104941706158,0.4007005977091513,0.8061897544089971,0.829666832741993,0.8523978347302837
2022-06-28T14:36:00Z,0.7240419114689112,0.41628336337488653,0.9802997137565234,0.702359534168273,0.7193646460735442,0.6596282814785063,0.9919624916275953,0.6781213363724228,0.7068127392083025,0.4634496530714467,0.6927033179098017,0.7151610006122641,0.7341929832500964,0.7148498052613113,0.6909610969346967,0.4478075182017196,0.6870559494366829,0.7168287999016579,0.7388251031541968
2022-06-28T14:37:00Z,0.8157596177148104,0.37640804002847633,0.9866980973227801,0.7994625376807716,0.8216238163197677,0.7673403096670078,0.9929671801741459,0.7253874918207148,0.8110027578642304,0.5131145316421528,0.7521580870111741,0.7374727906477524,0.8220154957893214,0.8015780289450525,0.7849115519656183,0.40747452100513415,0.7816490114703566,0.8044621277283933,0.8281509588352038
2022-06-28T14:38:00Z,0.8193887751485543,0.37933814334785765,0.9861929617780756,0.8041182578267289,0.8249260292150213,0.765521470292296,0.9931346282652378,0.7371070590219575,0.8131186206420348,0.5134122188708737,0.7608093916694221,0.7603881630343977,0.8266538008098433,0.8052217058586364,0.7849355346213618,0.4099417988605477,0.7822464567483343,0.8090878927118891,0.8336169354711005
2022-06-28T14:39:00Z,0.818668873814717,0.38088986951699566,0.989055396531401,0.7929666793123271,0.8269673524374554,0.7679898110285304,0.9926322839919623,0.7353122801991604,0.8108669565639042,0.5139856581476576,0.7865551149606728,0.7287587467328175,0.8274530589264938,0.7965323285234162,0.789916732219259,0.4188502758198241,0.7873115889365166,0.8010182590035494,0.8344746333132123
2022-06-28T14:40:00Z,0.8200328826386611,0.3827582564494635,0.9897232028447392,0.7885758537860359,0.8292358437543946,0.7714826647934582,0.9924279405587657,0.7355493351900264,0.8113269940305691,0.5181626268768018,0.7991576278704291,0.7126947923839158,0.828023504413373,0.7939400148477821,0.7942073783765005,0.424030737989199,0.792102787215553,0.7988424209933539,0.8359073455535087
2022-06-28T14:41:00Z,0.8202987144262583,0.3841144978684801,0.9895605320761054,0.7903146613701248,0.8284773992779463,0.7699256338758761,0.992129939718687,0.736518675136219,0.8111353637808739,0.5170421598748639,0.7948715098210709,0.7207452244198009,0.8288068886538336,0.7962931132130023,0.7939418212748541,0.42453900636612285,0.7911085945019206,0.8005973593660851,0.8359344922833618
