,H_TDH_U_L2_N,H_TDH_U_L3_N,H_TDH_U_L1_N
2022-06-28T12:15:00Z,0.7675414172351385,0.746214704678762,0.7620112564762013
2022-06-28T12:16:00Z,0.692576870529994,0.6798590383534983,0.6914273765233799
2022-06-28T12:17:00Z,0.584261450647362,0.5840608375392174,0.592269559059227
2022-06-28T12:18:00Z,0.6339273284143117,0.6361683262856367,0.6407618621640762
2022-06-28T12:19:00Z,0.6740916051788945,0.6791024416859913,0.6639084572663906
2022-06-28T12:20:00Z,0.6768063483224283,0.6717364616014189,0.6711021655671102
2022-06-28T12:21:00Z,0.640192120284004,0.6392033828945579,0.6339781579633977
2022-06-28T12:22:00Z,0.5216135319504385,0.5332833174191788,0.5178351783517835
2022-06-28T12:23:00Z,0.5553389948489493,0.5711362706315647,0.5514555145551453
2022-06-28T12:24:00Z,0.5306974801614925,0.5483562951848316,0.5266689030526664
2022-06-28T12:25:00Z,0.49457051371293304,0.5072636748056202,0.49081218084908074
2022-06-28T12:26:00Z,0.5224836419323402,0.5282703587505119,0.5294643855529465
2022-06-28T12:27:00Z,0.5345607684811362,0.5471968353567046,0.5453799992545373
2022-06-28T12:28:00Z,0.5267645830432965,0.5352271177192746,0.531961683253196
2022-06-28T12:29:00Z,0.5550605596547402,0.5576660755694994,0.5615565246561557
2022-06-28T12:30:00Z,0.468049561464569,0.4767084981585056,0.47049834134704993
2022-06-28T12:31:00Z,0.4766114436864817,0.47875460373755285,0.4758656677475871
2022-06-28T12:32:00Z,0.545663371850202,0.5341358614104489,0.5476909314547688
2022-06-28T12:33:00Z,0.46456912153696206,0.4546105579047882,0.4613664318461371
2022-06-28T12:34:00Z,0.5746902408464425,0.5611785568135318,0.5544746356554479
2022-06-28T12:35:00Z,0.5383544480022273,0.5287818851452738,0.519288829251929
2022-06-28T12:36:00Z,0.4179660309063067,0.41897421906970445,0.40411495024041166
2022-06-28T12:37:00Z,0.3778713629402759,0.38054153594325457,0.36464273733646413
2022-06-28T12:38:00Z,0.39080503165430636,0.39867558013451154,0.3722685608982438
2022-06-28T12:39:00Z,0.45475428094111137,0.4521893329695813,0.42155876104215617
2022-06-28T12:40:00Z,0.5267297786440204,0.5012958668667308,0.48872488724887264
2022-06-28T12:41:00Z,0.3494361687317279,0.335117992088392,0.3652018338365203
2022-06-28T12:42:00Z,0.2635041069191145,0.25341017596507986,0.2970666070297069
2022-06-28T12:43:00Z,0.2739802311012115,0.2638794161778747,0.3091803645309178
2022-06-28T12:44:00Z,0.2499303912014481,0.24062201609603062,0.2685526855268552
2022-06-28T12:45:00Z,0.3932201030210225,0.3990246896739872,0.37843378433784347
2022-06-28T12:46:00Z,0.40968258387860224,0.4156322466239263,0.3902120839390212
2022-06-28T12:47:00Z,0.41135319504385337,0.42807938889646746,0.3862611353386264
2022-06-28T12:48:00Z,0.37477377140470547,0.39053335152093827,0.3572999366357299
2022-06-28T12:49:00Z,0.38163023806209084,0.3953075978720507,0.36438182563643806
2022-06-28T12:50:00Z,0.4382918000835305,0.4517119083344706,0.4108241082410825
2022-06-28T12:51:00Z,0.4373868857023526,0.4474491883781203,0.4174587200417458
2022-06-28T12:52:00Z,0.541243213142141,0.5387737007229579,0.5237243281523724
2022-06-28T12:53:00Z,0.42377836558541015,0.4177124539626248,0.42554698274255454
2022-06-28T12:54:00Z,0.45847835166365036,0.43970808893738933,0.462260986246226
2022-06-28T12:55:00Z,0.4615411387999444,0.44305006138316794,0.46121733944612153
2022-06-28T12:56:00Z,0.4745231797299181,0.451984722411677,0.4793693391479371
2022-06-28T12:57:00Z,0.4774856830038905,0.456694811214971,0.4804110907056681
2022-06-28T12:58:00Z,0.47535848531254365,0.44823352885008905,0.4777293227477727
2022-06-28T12:59:00Z,0.47173882778783227,0.4418906015550409,0.4708710723470869
2022-06-28T13:00:00Z,0.4595920924404844,0.4357522848178971,0.46162734354616275
2022-06-28T13:01:00Z,0.5280751683734137,0.5047535616772251,0.5268289940723548
2022-06-28T13:02:00Z,0.6117716737022678,0.5871600516959562,0.6053454679385003
2022-06-28T13:03:00Z,0.7631560629263541,0.7405197108170792,0.7522829773752285
2022-06-28T13:04:00Z,0.51938605039677,0.5078434047196837,0.5378135599537809
2022-06-28T13:05:00Z,0.6446122789920643,0.6267903423816675,0.6517574266651761
2022-06-28T13:06:00Z,0.6855422525407211,0.6698608648206249,0.6973051548697305
2022-06-28T13:07:00Z,0.6291591257134903,0.6119560769335698,0.6354690819635466
2022-06-28T13:08:00Z,0.6251218153974665,0.6066703041876965,0.6299153900629916
2022-06-28T13:09:00Z,0.6039259362383407,0.5881871504569639,0.6095642774609563
2022-06-28T13:10:00Z,0.550570792148128,0.5345450825262589,0.5554064631555403
2022-06-28T13:11:00Z,0.6457368604834277,0.6311089668620348,0.6465673002482631
2022-06-28T13:12:00Z,0.5857214657017393,0.5697854941518373,0.5946183961069199
2022-06-28T13:13:00Z,0.677641653905054,0.642954576456145,0.6656602929665657
2022-06-28T13:14:00Z,0.6614228038424059,0.6221866048288097,0.650751052965075
2022-06-28T13:15:00Z,0.5505707921481273,0.5186877642886375,0.5508218718550822
2022-06-28T13:16:00Z,0.5418325283095446,0.5123558189161884,0.5413620854236277
2022-06-28T13:17:00Z,0.5746554364471672,0.541229027417815,0.5665138469566516
2022-06-28T13:18:00Z,0.6104343589029655,0.5750579729914062,0.603786946960379
2022-06-28T13:19:00Z,0.6131839064457751,0.5771381803301056,0.604718774460472
2022-06-28T13:20:00Z,0.4963455380760131,0.47282089755831425,0.501248648850125
2022-06-28T13:21:00Z,0.5175762216344151,0.49488473605238037,0.5208542994520863
2022-06-28T13:22:00Z,0.5584017819852429,0.5385690901650527,0.5632710872563268
2022-06-28T13:23:00Z,0.4951969928999027,0.4768108034374575,0.5036341272503636
2022-06-28T13:24:00Z,0.4923082277599886,0.46787614240894826,0.5026650266502667
2022-06-28T13:25:00Z,0.5841918418488097,0.5504706042831812,0.5843676618584362
2022-06-28T13:26:00Z,0.5444104134762635,0.5165734551902877,0.5439263483543929
2022-06-28T13:27:00Z,0.5211262703605739,0.49976128768244477,0.5173133549517309
2022-06-28T13:28:00Z,0.4880272866490327,0.4692061110353293,0.4892839837489281
2022-06-28T13:29:00Z,0.5294097173882781,0.510196426135589,0.5286816504528685
2022-06-28T13:30:00Z,0.6335096756229981,0.601725549038331,0.6277908233627784
2022-06-28T13:31:00Z,0.6047960462202424,0.5742054290001365,0.5969286965596926
2022-06-28T13:32:00Z,0.6399832938883476,0.6098076660755695,0.6275299116627525
2022-06-28T13:33:00Z,0.6139844076291241,0.5848110762515347,0.6084088113608411
2022-06-28T13:34:00Z,0.6964360295141301,0.6559132451234492,0.6952551343695256
2022-06-28T13:35:00Z,0.6148545176110258,0.5895512208429964,0.6062096984606214
2022-06-28T13:36:00Z,0.6255394681887789,0.5968489974082664,0.6216407618621643
2022-06-28T13:37:00Z,0.6306557148823606,0.6004978856909021,0.6208580267620859
2022-06-28T13:38:00Z,0.6566894055408599,0.6291774655572228,0.6520183383652015
2022-06-28T13:39:00Z,0.6263895213982165,0.60720495041951,0.6158830155327747
2022-06-28T13:40:00Z,0.6574899067242106,0.6348724594189062,0.6435573446643553
2022-06-28T13:41:00Z,0.5997842127244883,0.5954167235029332,0.5724029967572403
2022-06-28T13:42:00Z,0.6316998468606432,0.599781748738235,0.5967796041596779
2022-06-28T13:43:00Z,0.5848531254350549,0.5519028781885146,0.543590890454359
2022-06-28T13:44:00Z,0.5530767088960045,0.5222002455326701,0.5187297327518728
2022-06-28T13:45:00Z,0.5151051092858139,0.4892579457099989,0.48812851764881315
2022-06-28T13:46:00Z,0.5500487261589859,0.5327717910244173,0.5255879831525591
2022-06-28T13:47:00Z,0.4559724349157732,0.4483699358886918,0.44243169704424334
2022-06-28T13:48:00Z,0.5884379785604901,0.567623789387533,0.5619665287561967
2022-06-28T13:49:00Z,0.506508422664625,0.490246896739872,0.4918558276491857
2022-06-28T13:50:00Z,0.5564527356257831,0.5305210748874646,0.5399381266539939
2022-06-28T13:51:00Z,0.5383196436029514,0.5167780657481927,0.5290916545529086
2022-06-28T13:52:00Z,0.6156898231936518,0.5874369117446464,0.6071787990607177
2022-06-28T13:53:00Z,0.6397048586941385,0.6093643432001093,0.6318163181631812
2022-06-28T13:54:00Z,0.6784073506891273,0.642408948301732,0.6652130157665211
2022-06-28T13:55:00Z,0.48875817903383,0.46548901923339236,0.488389429348839
2022-06-28T13:56:00Z,0.5648405958513156,0.5389101077615602,0.5567110216556709
2022-06-28T13:57:00Z,0.6303772796881522,0.603976265175283,0.6237653285623764
2022-06-28T13:58:00Z,0.6570722539328973,0.6268244441413181,0.6445637183644565
2022-06-28T13:59:00Z,0.6346010000070788,0.6014481109937141,0.6137982489223964
2022-06-28T14:00:00Z,0.5854099958234718,0.5513572500341019,0.5589846807558984
2022-06-28T14:01:00Z,0.609320618126131,0.574887464193152,0.5867904133586791
2022-06-28T14:02:00Z,0.600932757900599,0.5658504978856914,0.571806627157181
2022-06-28T14:03:00Z,0.5715230405123213,0.5374437320965767,0.5435536173543553
2022-06-28T14:04:00Z,0.5967562299874709,0.5635656799890879,0.5755712102575575
2022-06-28T14:05:00Z,0.588229152164834,0.5621675078434053,0.5672965820567301
2022-06-28T14:06:00Z,0.5654322706390082,0.5432751329968625,0.5450818144545083
2022-06-28T14:07:00Z,0.5744814144507864,0.5485950075023879,0.5542509970554247
2022-06-28T14:08:00Z,0.5770917443964918,0.559848588187151,0.5587237690558723
2022-06-28T14:09:00Z,0.5942503132395935,0.5808552721320429,0.5801930746580192
2022-06-28T14:10:00Z,0.6055965474035923,0.5961328604556001,0.5830631033583061
2022-06-28T14:11:00Z,0.5740637616594739,0.563633883508389,0.5589474076558943
2022-06-28T14:12:00Z,0.6100167061116522,0.6022029736734423,0.5964441462596443
2022-06-28T14:13:00Z,0.5757343728247251,0.5703519301595964,0.5681165902568123
2022-06-28T14:14:00Z,0.6126618404566331,0.5987927977083619,0.6096760967609677
2022-06-28T14:15:00Z,0.5665112070165674,0.5539148820079115,0.5596183234559619
2022-06-28T14:16:00Z,0.5654322706390087,0.5533692538534992,0.5583883111558386
2022-06-28T14:17:00Z,0.5509288645271202,0.5385737141324632,0.5432573277966987
2022-06-28T14:18:00Z,0.5605248503410833,0.5379211567316876,0.5440754407544074
2022-06-28T14:19:00Z,0.5907350689127102,0.5658845996453418,0.573782101457378
2022-06-28T14:20:00Z,0.5815119031045521,0.5554153594325474,0.5600283275560024
2022-06-28T14:21:00Z,0.5724279548934985,0.5504365025235302,0.5544746356554479
2022-06-28T14:22:00Z,0.5461854378393425,0.5253035056608925,0.5271161802527112
2022-06-28T14:23:00Z,0.6575943199220384,0.6304733324239536,0.6374818293637478
2022-06-28T14:24:00Z,0.5367186412362523,0.5282362569908609,0.5169778970516975
2022-06-28T14:25:00Z,0.5457329806487541,0.5384326831264491,0.5297252972529726
2022-06-28T14:26:00Z,0.5843658638451896,0.5791842859091537,0.5713966230571398
2022-06-28T14:27:00Z,0.5541556452735625,0.5529600327376899,0.5424354243542432
2022-06-28T14:28:00Z,0.5728108032855355,0.5672486700313742,0.561556524656155
2022-06-28T14:29:00Z,0.5840178198524293,0.5791501841495027,0.5644265533564431
2022-06-28T14:30:00Z,0.5583321731866908,0.5582799072432142,0.5371799172537178
2022-06-28T14:31:00Z,0.57542113323124,0.5715113899877241,0.554362816355436
2022-06-28T14:32:00Z,0.48357232354169577,0.48465420815714133,0.4717283536471727
2022-06-28T14:33:00Z,0.5563483224279551,0.5542558996044195,0.5435536173543555
2022-06-28T14:34:00Z,0.5525894473061395,0.5422520802073386,0.5447463565544747
2022-06-28T14:35:00Z,0.5256856466657389,0.5131632792252084,0.5166424391516645
2022-06-28T14:36:00Z,0.5722887372963943,0.553369253853499,0.5691975101569199
2022-06-28T14:37:00Z,0.5395377975776143,0.529088800982131,0.5283834656528384
2022-06-28T14:38:00Z,0.572253932897119,0.5584163142818174,0.5608856088560886
2022-06-28T14:39:00Z,0.5530071000974519,0.5365570863456558,0.5368444593536844
2022-06-28T14:40:00Z,0.5659360495709034,0.5479025683826985,0.5499285809499076
